Date,Open,High,Low,Close,buy_volume,sell_volume,SMA,EMA,STD,BBup,BBdown,EMA26,EMA12,MACD,MACDema9
2017-10-11 12:00:00,4802.99999999,4806.82499971,4753.44912063,4756.00000004,164572.393542,-226355.517715,,4756.00000004,,,,4756.00000004,4756.00000004,0.0,0.0
2017-10-11 13:00:00,4764.0,4786.60324997,4757.74000063,4780.79999995,184496.528207,-155361.264262,,4769.63999999,,,,4768.87692307,4769.43333332,0.55641025439,0.309116807995
2017-10-11 14:00:00,4781.99999997,4798.99999989,4768.09200664,4784.5,219005.525145,-149883.736214,,4775.61362126,,,,4774.49014292,4775.31385681,0.823713884361,0.520017249128
2017-10-11 15:00:00,4785.99999996,4840.0,4776.00000013,4839.9999998,643885.552314,-197465.477931,,4796.82606429,,,,4792.80383615,4795.73274419,2.92890803331,1.33603716247
2017-10-11 16:00:00,4839.99999989,4869.0,4830.9518889,4854.0,679959.96178,-287560.65404,,4813.23914624,,,,4806.99547896,4811.56374934,4.56827038634,2.29755347133
2017-10-11 17:00:00,4855.0,4860.0,4824.7478087,4836.89999994,169861.050456,-264248.764903,,4819.38468724,,,,4812.985116,4817.72179117,4.73667517346,2.95869106515
2017-10-11 18:00:00,4840.0,4846.0,4820.0,4839.32165334,138984.886888,-238960.582524,,4824.18869518,,,,4817.66893264,4822.54172484,4.87279220279,3.44309899951
2017-10-11 19:00:00,4839.32165334,4875.47850202,4828.3,4847.79999691,314711.279413,-416240.0139,,4829.56038011,,,,4822.52379369,4827.81273692,5.28894322347,3.88669007764
2017-10-11 20:00:00,4847.09999967,4856.79765286,4830.11,4830.11,176461.237633,-63178.8345351,,4829.67995817,,,,4823.64823601,4828.26721732,4.61898131362,4.05585298607
2017-10-11 21:00:00,4830.11,4833.55,4789.00000001,4811.09300229,198302.862135,-483208.34676,4818.05246523,4825.7756535,33.373781952,4884.80002913,4751.30490132,4821.91573595,4825.01271025,3.09697429675,3.84100849683
2017-10-11 22:00:00,4807.6,4835.0,4794.73000042,4821.0,122636.381742,-64454.8274409,4824.55246522,4824.80004719,25.298140955,4875.14874713,4773.95618331,4821.79696471,4824.27848103,2.48151631767,3.54355937608
2017-10-11 23:00:00,4822.81228257,4826.0,4811.12127733,4820.00000001,145182.972996,-46652.5254373,4828.47246523,4823.84100655,20.3107692934,4869.09400382,4787.85092664,4821.57617928,4823.51778115,1.94160186564,3.19952608634
2017-10-12 00:00:00,4826.0,4848.24131191,4820.00000001,4845.99998957,128077.105619,-65646.1413764,4834.62246419,4828.19013355,13.7766214335,4862.17570705,4807.06922132,4824.43742425,4827.42154662,2.98412236548,3.15393917523
2017-10-12 01:00:00,4845.9999895,4850.0,4833.46539119,4847.99989853,155085.140212,-134908.289582,4835.42245406,4832.02279523,14.3441653081,4864.11078468,4806.73412344,4827.08377052,4830.92538292,3.84161239344,3.29780092556
2017-10-12 02:00:00,4847.99989819,4872.8,4839.0,4868.48338,357597.161064,-175859.600939,4836.87079206,4838.99567672,16.927027982,4870.72484802,4803.01673609,4831.56219417,4837.2169904,5.65479623117,3.78639071151
2017-10-12 03:00:00,4868.86088062,4870.0,4837.0,4863.1,162605.021591,-160209.144666,4839.49079206,4843.56244558,18.8504199262,4877.19163192,4801.78995221,4834.86130773,4841.49436181,6.63305407681,4.37221281074
2017-10-12 04:00:00,4869.1,4869.66942021,4847.59546034,4852.0,274613.668433,-124280.81341,4840.75862673,4845.14889102,19.259694847,4879.27801642,4802.23923704,4836.60103467,4843.21091254,6.60987787019,4.830055524
2017-10-12 05:00:00,4856.78750223,4916.99999999,4849.88460544,4912.47271619,621968.264456,-139589.071443,4847.22589866,4857.72920258,29.8393779378,4906.90465453,4787.54714278,4844.09702304,4854.42080383,10.3237807875,5.9489569122
2017-10-12 06:00:00,4915.47271619,4921.9282,4895.00000079,4915.0,506340.55254,-233499.77118,4855.71489866,4868.37726394,35.8906361931,4927.49617105,4783.93362627,4850.93309598,4864.14759831,13.2145023371,7.42331371802
2017-10-12 07:00:00,4915.9,5050.0,4907.01000048,5044.00000007,2853342.45718,-398398.610625,4879.00559844,4900.89634212,66.3566447425,5011.71888792,4746.29230895,4869.14077249,4892.83260914,23.6918366547,10.7149685012
2017-10-12 08:00:00,5044.00000007,5200.6,5027.38966678,5139.89899941,3856104.72154,-3035004.65585,4910.89549838,4945.00353305,102.284949882,5115.46539814,4706.32559861,4894.16892349,4932.01648597,37.8475624788,16.1920040331
2017-10-12 09:00:00,5133.35454985,5216.7773023,5103.00000001,5152.10000003,1630734.56951,-785300.899595,4944.10549838,4983.11853288,121.586036179,5187.27757074,4700.93342602,4917.58143917,4966.7559456,49.1745064363,22.8375399136
2017-10-12 10:00:00,5164.51935974,5216.17358902,5110.0,5192.70940003,930498.864304,-701666.426053,4978.77643943,5021.60692002,138.727128354,5256.23069613,4701.32218272,4942.1448047,5002.27984054,60.135035832,30.3413336775
2017-10-12 11:00:00,5205.0,5276.99999967,5173.82411705,5180.50670594,1303440.04268,-1234601.66388,5012.02712017,5050.73366838,143.659885514,5299.34689119,4724.70734914,4963.1069598,5030.20611201,67.0991522089,37.727778885
2017-10-12 12:00:00,5180.50670594,5249.37113,5177.0,5224.0,762638.73569,-637606.029915,5047.57878217,5082.44676593,148.111052212,5343.80088659,4751.35667774,4985.73672042,5060.48547832,74.748757902,45.1600530263
2017-10-12 13:00:00,5223.0,5228.59999997,5189.00439988,5190.42305971,1062013.17937,-703302.833913,5080.31108814,5102.18582875,138.680280622,5357.67164938,4802.95052689,5003.26907701,5080.73901341,77.4699363973,51.6416190317
2017-10-12 14:00:00,5192.96438653,5220.00000001,5190.0,5219.9,505589.208877,-361396.6,5117.10108814,5123.68376,118.749995298,5354.60107873,4879.60109754,5021.61211913,5102.38637403,80.7742549027,57.4822680287
2017-10-12 15:00:00,5219.9,5335.9,5214.1405261,5333.99999997,1419078.09547,-676086.362602,5159.25381652,5162.06235488,112.703098006,5384.66001253,4933.8476205,5047.78585756,5138.35381251,90.5679549533,64.1122296244
2017-10-12 16:00:00,5330.0,5420.0,5300.0,5378.03695,2920411.2548,-1539126.79153,5205.55751152,5201.44740665,94.9173357357,5395.39218299,5015.72284004,5075.1901345,5175.52068229,100.330547785,71.3671196551
2017-10-12 17:00:00,5377.0,5400.77069968,5265.0,5292.0,1819007.89765,-2133150.32853,5230.35751151,5217.95160945,79.0954275421,5388.54836659,5072.16665642,5093.02223069,5193.5607256,100.538494909,77.2086261405
2017-10-12 18:00:00,5292.0,5360.0,5246.9451718,5349.7,1461461.22595,-1577479.32038,5251.33761157,5241.95357028,80.2517020144,5411.8410156,5090.83420754,5113.96221324,5217.71829141,103.756078168,82.5233800234
2017-10-12 19:00:00,5349.69999997,5349.69999997,5301.0,5314.0,392556.094822,-809140.383484,5267.52761157,5255.07425901,74.1022802671,5415.7321721,5119.32305103,5130.15986799,5232.60183362,102.441965631,86.5102558733
2017-10-12 20:00:00,5314.0,5380.00000003,5310.0,5339.99999974,560954.908357,-516929.363763,5282.25667154,5270.53587585,72.192152283,5426.6409761,5137.87236697,5147.03482909,5249.19156558,102.156736491,89.6415366818
2017-10-12 21:00:00,5338.0,5361.00000001,5280.00000001,5299.04546581,507313.523891,-364247.282771,5294.11054752,5275.72508697,62.7419990619,5419.59454565,5168.6265494,5159.18218347,5256.88767173,97.7054882528,91.2551451927
2017-10-12 22:00:00,5288.2899993,5339.99999997,5288.2899993,5313.11590003,248774.401084,-214035.625295,5303.02213753,5282.52947746,57.8125094139,5418.64715635,5187.3971187,5171.41182737,5265.56323087,94.1514035047,91.8346319229
2017-10-12 23:00:00,5313.11590003,5444.36749996,5311.96843485,5441.55460001,1069312.56315,-307896.642223,5328.13529156,5311.46422303,58.0101159628,5444.15552348,5212.11505963,5192.75927819,5292.70517245,99.9458942651,93.4574110133
2017-10-13 00:00:00,5444.36749996,5483.80909183,5397.49266176,5401.00010001,1721888.66803,-902516.735916,5346.24530156,5327.75318602,47.843772771,5441.9328471,5250.55775602,5209.13402576,5309.40046234,100.266436583,94.8195697638
2017-10-13 01:00:00,5403.68953103,5541.0,5385.60000002,5534.46000003,1636433.43032,-798281.300835,5366.29130156,5365.35458726,75.9075779298,5518.10645742,5214.4761457,5234.59949961,5344.0857109,109.486211297,97.7535074254
2017-10-13 02:00:00,5541.00000001,5862.0,5534.46000003,5672.79891581,5319520.7273,-3366935.31612,5395.76749814,5421.27587743,123.368526137,5642.50455042,5149.03044587,5268.75679098,5394.73197495,125.975183964,103.398780715
2017-10-13 03:00:00,5679.9999999,5775.41269451,5614.12,5740.00000001,2485520.99878,-2065347.0473,5440.56749815,5479.24464949,157.98595607,5756.53941029,5124.595586,5305.34802396,5447.91677662,142.568752659,111.233816559
2017-10-13 04:00:00,5748.0,5825.00000004,5720.0,5740.00000017,1932227.33462,-1773259.12381,5479.59749816,5526.66738479,179.754639215,5839.10677659,5120.08821973,5338.97780962,5492.90035258,153.922542954,119.772469823
2017-10-13 05:00:00,5753.99999943,5776.13173678,5480.68789646,5542.13301204,2992097.18002,-3879140.21721,5502.41079937,5529.4799319,170.648848307,5843.70849598,5161.11310275,5354.6446198,5500.48140933,145.836789539,124.985777265
2017-10-13 06:00:00,5541.0,5643.0,5487.0,5581.00000001,2940791.76451,-2122012.29098,5526.51079939,5538.84889285,161.960269293,5850.43133798,5202.59026081,5372.04760466,5512.87829578,140.83069112,128.154975721
2017-10-13 07:00:00,5590.3409099,5678.0,5535.54696131,5650.0,1221348.62732,-1097784.21216,5561.60625281,5559.06114312,144.249920332,5850.10609348,5273.10641215,5393.35767837,5533.98750205,140.629823685,130.65008116
2017-10-13 08:00:00,5650.0,5759.89999999,5644.6074392,5670.0,1496693.81271,-1329274.46304,5597.29466281,5579.23425992,117.632893437,5832.56044968,5362.02887593,5414.51243589,5554.92388119,140.411445303,132.602439026
2017-10-13 09:00:00,5670.0,5767.99999999,5649.0,5755.79999958,1131552.78931,-548549.744397,5628.71920277,5611.34026709,113.299718581,5855.31863993,5402.1197656,5440.54822398,5585.8421189,145.29389492,135.140818654
2017-10-13 10:00:00,5750.00000003,5765.99999996,5621.0,5641.0,796175.64173,-964648.791726,5652.71919277,5616.7333781,80.3231453401,5813.36548345,5492.07290208,5455.80631475,5594.33125032,138.524935564,135.817660904
2017-10-13 11:00:00,5641.0,5686.9175,5585.30000001,5659.34723162,669236.076435,-1054336.52853,5665.20791592,5624.48185963,68.771183619,5802.75028316,5527.66554869,5471.26793602,5604.33700369,133.069067676,135.267929999
2017-10-13 12:00:00,5665.1055174,5677.99999997,5556.0,5590.0,740521.820153,-792902.633882,5656.92802434,5618.21209418,72.631736681,5802.19149771,5511.66455098,5480.27019815,5602.13069609,121.860497937,132.586395746
2017-10-13 13:00:00,5590.0,5677.55354729,5590.0,5670.0,769904.568995,-984746.661817,5649.92802434,5627.62849046,66.8815254062,5783.69107515,5516.16497353,5494.63043545,5612.57458969,117.944154243,129.657905649
2017-10-13 14:00:00,5670.0,5823.99999998,5670.0,5767.00000003,2832397.02958,-1620707.74583,5652.62802433,5652.96967519,71.3194944743,5795.26701328,5509.98903538,5515.21228308,5636.33708545,121.124802371,127.951265507
2017-10-13 15:00:00,5765.0,5790.0,5724.0,5749.0,974512.819448,-700315.190356,5673.31472312,5670.43024741,65.470304984,5804.25533309,5542.37411316,5532.85234353,5653.67276775,120.820424226,126.525084223
2017-10-13 16:00:00,5744.00000003,5760.39998994,5682.39489434,5720.0,599734.504369,-791004.649906,5687.21472312,5679.44314642,58.0255254999,5803.26577412,5571.16367212,5546.95380691,5663.87841499,116.924608073,124.604974962
2017-10-13 17:00:00,5720.00000001,5758.96034996,5702.18358753,5722.96561392,557075.819546,-358124.477343,5694.51128451,5687.35647801,57.4102652262,5809.33181497,5579.69075406,5560.19929843,5672.96985203,112.770553592,122.238076851
2017-10-13 18:00:00,5725.0,5727.32738415,5636.0,5675.54135932,866077.491257,-867214.329043,5695.06542045,5685.20824004,57.1736451592,5809.41271077,5580.71813013,5568.86895911,5673.36550899,104.496549879,118.689754862
2017-10-13 19:00:00,5676.99999997,5676.99999997,5500.0,5526.10000045,1339460.94591,-2330695.16616,5672.09542053,5656.2790882,73.789374724,5819.67416998,5524.51667109,5565.65774222,5650.70731632,85.0495740927,111.961693535
2017-10-13 20:00:00,5526.10000053,5647.99000001,5526.10000053,5625.08400009,1112938.14692,-816669.04745,5670.50382054,5650.60719288,74.7006343629,5819.90508927,5521.10255182,5570.11514055,5646.76497902,76.6498384709,104.899301384
2017-10-13 21:00:00,5624.16430006,5628.76999997,5575.000001,5603.76269882,305945.587978,-368474.532297,5664.94536726,5642.08993705,77.6334741603,5820.21231558,5509.67841894,5572.63659743,5640.14883371,67.5122362858,97.4218704592
2017-10-13 22:00:00,5603.63269867,5641.37,5520.60672641,5639.00000003,588199.072452,-510198.457801,5669.84536727,5641.52812627,73.8307830998,5817.50693347,5522.18380107,5577.60540191,5639.97208081,62.3666788924,90.4108187153
2017-10-13 23:00:00,5641.0,5652.0,5591.85772735,5646.62914351,362090.766392,-228483.130304,5667.50828162,5642.45558942,74.1943470736,5815.89697576,5519.11958747,5582.76926926,5640.99628973,58.2270204669,83.9740492013
